,"citrus fruit,semi-finished bread,margarine,ready soups"
1418,"whole milk,soda"
1419,"sausage,ham,citrus fruit,grapes,berries,butter milk,frozen meals,domestic eggs,cat food,coffee,bottled water,soda,fruit/vegetable juice,waffles,hygiene articles"
1420,canned beer
1421,"meat,hamburger meat,spices,coffee"
1422,soda
1423,bottled beer
1424,"whole milk,yogurt"
1425,"chicken,whole milk"
1426,pip fruit
1427,"pork,UHT-milk,rolls/buns,margarine"
1428,oil
1429,"whole milk,shopping bags"
1430,"pip fruit,root vegetables,whole milk,rolls/buns,pastry,coffee,chocolate"
1431,"root vegetables,coffee,detergent"
1432,"ham,whole milk,curd,dessert"
1433,"ice cream,soda,bottled beer,chocolate marshmallow"
1434,"sausage,whole milk,brown bread,soda"
1435,detergent
1436,"oil,female sanitary products,cling film/bags"
1437,"tropical fruit,pip fruit,grapes,ice cream,frozen potato products,rolls/buns,pastry,soda,misc. beverages,salty snack,long life bakery product,chewing gum,specialty bar,napkins,photo/film"
1438,photo/film
1439,"UHT-milk,coffee"
1440,"meat,bottled beer,shopping bags"
1441,"grapes,root vegetables,whole milk,butter,whipped/sour cream,condensed milk,roll products,oil,bottled water,fruit/vegetable juice"
1442,"liver loaf,tropical fruit,pip fruit,grapes,whole milk,curd,whipped/sour cream,frozen vegetables,baking powder"
1443,"beef,root vegetables,other vegetables,soda,bottled beer,hygiene articles"
1444,"root vegetables,whole milk,butter,domestic eggs,flour,oil,sugar,baking powder,white wine,specialty chocolate,shopping bags"
1445,"pork,brown bread,bottled water,fruit/vegetable juice"
1446,"butter milk,shopping bags"
1447,"brown bread,specialty chocolate,shopping bags"
1448,"herbs,curd,roll products,vinegar,canned beer,newspapers"
1449,newspapers
1450,brandy
1451,"pastry,sugar,bottled beer,long life bakery product,shopping bags"
1452,"beverages,soda,chocolate"
1453,UHT-milk
1454,"cream cheese,pasta,jam,sweet spreads,coffee,soda,chocolate"
1455,"rolls/buns,liquor,red/blush wine"
1456,rolls/buns
1457,"rolls/buns,bottled water"
1458,"sausage,whole milk,brown bread,pastry"
1459,"hard cheese,rolls/buns,soda,shopping bags"
1460,canned beer
1461,canned beer
1462,"citrus fruit,tropical fruit,berries,yogurt,cream cheese,brown bread,meat spreads"
1463,yogurt
1464,"yogurt,beverages,rolls/buns,fruit/vegetable juice,potted plants"
1465,salty snack
1466,"tropical fruit,frozen vegetables"
1467,"citrus fruit,other vegetables,whole milk,butter,frozen vegetables,rolls/buns,brown bread,fruit/vegetable juice,cleaner"
1468,rolls/buns
1469,"whipped/sour cream,salty snack"
1470,"citrus fruit,whole milk,butter milk,whipped/sour cream"
1471,butter milk
1472,"other vegetables,whole milk,soups,bottled water,bottled beer"
1473,canned beer
1474,"soda,fruit/vegetable juice"
1475,"tropical fruit,whole milk"
1476,"coffee,soda,bottled beer,liquor (appetizer),bathroom cleaner"
1477,"ham,other vegetables,whole milk,frozen vegetables"
1478,whipped/sour cream
1479,"citrus fruit,tropical fruit,whole milk,rolls/buns,bottled water,long life bakery product,decalcifier,newspapers"
1480,"dessert,fruit/vegetable juice,newspapers"
1481,"whole milk,rolls/buns"
1482,canned beer
1483,"rolls/buns,soda"
1484,"fish,dessert,yogurt,cling film/bags"
1485,"meat,other vegetables,rolls/buns,fruit/vegetable juice,cling film/bags"
1486,"sausage,rolls/buns"
1487,"other vegetables,oil,margarine,dishes"
1488,"tropical fruit,other vegetables,waffles,napkins"
1489,baby cosmetics
1490,"citrus fruit,coffee"
1491,"tropical fruit,root vegetables,whole milk,yogurt,whipped/sour cream,domestic eggs,rolls/buns,margarine,bottled water"
1492,spices
1493,"sausage,hamburger meat,citrus fruit,root vegetables,whole milk,yogurt,rolls/buns"
1494,"sausage,condensed milk,rolls/buns,coffee"
1495,"beef,other vegetables,margarine,candles"
1496,"canned beer,salty snack,shopping bags"
1497,canned beer
1498,"rolls/buns,soda,waffles,shopping bags"
1499,"whole milk,beverages,bottled water,newspapers"
1500,"root vegetables,brown bread,potted plants"
1501,yogurt
1502,"onions,shopping bags"
1503,"hamburger meat,citrus fruit,tropical fruit,rolls/buns,rice,coffee"
1504,"napkins,dishes"
1505,"other vegetables,butter milk,UHT-milk,brown bread,bottled water"
1506,"chicken,other vegetables,whole milk,curd,UHT-milk,rolls/buns,newspapers"
1507,"meat,whole milk,frozen potato products,margarine,soda,detergent"
1508,rolls/buns
1509,"butter,yogurt,rolls/buns,jam,soda"
1510,"sausage,fish,other vegetables,brown bread,shopping bags"
1511,rolls/buns
1512,"other vegetables,rolls/buns"
1513,"frankfurter,whole milk"
1514,newspapers
1515,"turkey,citrus fruit,tropical fruit,grapes,root vegetables,onions,other vegetables,rolls/buns,brown bread,pastry,pickled vegetables,jam,cat food,fruit/vegetable juice,napkins"
1516,"onions,butter,roll products,oil,napkins,newspapers"
1517,"whole milk,curd,ice cream,Instant food products,canned fish,newspapers"
1518,"yogurt,frozen vegetables,sweet spreads,bottled water,skin care,newspapers"
1519,"whipped/sour cream,flower (seeds)"
1520,"frozen vegetables,brown bread"
1521,"citrus fruit,whole milk,domestic eggs,canned fruit,dog food,misc. beverages,detergent"
1522,"onions,yogurt,oil"
1523,"sausage,butter milk,rolls/buns,soda"
1524,"other vegetables,butter,pastry,napkins,dishes"
1525,"frankfurter,brown bread,sugar"
1526,"domestic eggs,rolls/buns,white wine"
1527,"rolls/buns,canned fish,soda"
1528,bottled beer
1529,waffles
1530,"condensed milk,coffee,napkins"
1531,canned beer
1532,"meat,onions,other vegetables,chewing gum,dishes"
1533,"whole milk,frozen vegetables,fruit/vegetable juice,long life bakery product"
1534,"liver loaf,beef,pip fruit,packaged fruit/vegetables,whole milk,pastry,margarine"
1535,"frankfurter,root vegetables,rolls/buns,vinegar,sugar,mustard,cat food,napkins"
1536,"chicken,whole milk,rolls/buns,flour,salt,vinegar,sugar"
1537,"frankfurter,ham,citrus fruit,other vegetables"
1538,"pip fruit,yogurt,sliced cheese"
1539,"root vegetables,other vegetables,whole milk,rolls/buns,bottled water,dishes,newspapers"
1540,"pip fruit,other vegetables"
1541,"pork,hamburger meat,other vegetables,whole milk,whipped/sour cream,frozen meals,baking powder,coffee"
1542,"other vegetables,whipped/sour cream,condensed milk,salt"
1543,"pastry,long life bakery product,shopping bags"
1544,"sausage,pip fruit,whipped/sour cream,detergent,dental care"
1545,"processed cheese,red/blush wine,newspapers"
1546,napkins
1547,"meat,whole milk,whipped/sour cream,oil,pickled vegetables,long life bakery product,napkins"
1548,pastry
1549,"sausage,root vegetables,other vegetables,whole milk,dessert,canned fruit,soda,snack products,waffles,shopping bags"
1550,"pip fruit,root vegetables,whole milk,ice cream,bottled beer,detergent"
1551,frozen vegetables
1552,"citrus fruit,tropical fruit,coffee"
1553,"other vegetables,yogurt,whipped/sour cream,soda,bottled beer,salty snack"
1554,"frankfurter,frozen dessert,white wine,chewing gum,shopping bags"
1555,sausage
1556,"beef,other vegetables,yogurt,beverages,rolls/buns,flour,margarine,cat food,bottled water,fruit/vegetable juice"
1557,"hamburger meat,other vegetables,whipped/sour cream,pastry,napkins"
1558,"yogurt,margarine,sugar,bottled water,bottled beer,red/blush wine,long life bakery product"
1559,beverages
1560,whole milk
1561,rolls/buns
1562,"tropical fruit,bottled water,chewing gum"
1563,"citrus fruit,herbs,butter,domestic eggs,oil,bottled water,bottled beer"
1564,"whole milk,yogurt,whipped/sour cream,soft cheese,candy"
1565,"citrus fruit,tropical fruit,root vegetables,yogurt,roll products,margarine,sugar,bottled water,napkins,house keeping products"
1566,soda
1567,"frankfurter,yogurt,beverages,brown bread,specialty chocolate,candy"
1568,"sausage,cream,cream cheese,canned beer"
1569,napkins
1570,yogurt
1571,"herbs,oil,dog food"
1572,"sausage,fish,UHT-milk"
1573,"yogurt,chocolate"
1574,"pork,other vegetables,specialty fat"
1575,"curd,mustard,canned beer"
1576,"frankfurter,sausage,berries,whole milk,yogurt,brown bread,pastry,margarine,fruit/vegetable juice,waffles,decalcifier,napkins"
1577,"frankfurter,frozen meals,semi-finished bread,shopping bags"
1578,"curd,processed cheese,rolls/buns,pastry,pickled vegetables,fruit/vegetable juice"
1579,"liver loaf,organic sausage,pastry,fruit/vegetable juice,candles"
1580,"pork,canned fish,cat food"
1581,specialty bar
1582,ice cream
1583,specialty bar
1584,"yogurt,shopping bags"
1585,"frozen vegetables,coffee"
1586,"rolls/buns,canned beer,shopping bags"
1587,"pastry,soda"
1588,"pork,beef,citrus fruit,root vegetables,other vegetables,whole milk,rolls/buns,flour,pasta,oil,waffles,seasonal products,female sanitary products"
1589,"curd,bottled water,photo/film"
1590,"beef,citrus fruit,root vegetables,butter,yogurt,whipped/sour cream,frozen meals,pasta,oil,fruit/vegetable juice,waffles,dishes,cookware"
1591,"yogurt,bottled water,male cosmetics"
1592,"chicken,other vegetables,whole milk,curd,ice cream,rolls/buns,sugar,soda,napkins,potted plants"
1593,detergent
1594,"pip fruit,sweet spreads,coffee,napkins,dishes"
1595,"coffee,chocolate"
1596,"tropical fruit,berries,yogurt,soda,red/blush wine"
1597,"sauces,softener"
1598,"pork,onions,other vegetables,bottled beer"
1599,"yogurt,condensed milk,rolls/buns,pickled vegetables,bottled water,brandy"
1600,"napkins,dishes"
1601,"other vegetables,rolls/buns,canned fish"
1602,"chicken,citrus fruit,onions,bottled water"
1603,"pork,onions,rolls/buns,margarine,canned vegetables,soda,salty snack,house keeping products"
1604,root vegetables
1605,"ham,tropical fruit,pip fruit,other vegetables,whole milk,processed cheese,frozen vegetables,brown bread,soda,shopping bags"
1606,"whole milk,rolls/buns"
1607,"soda,bottled beer,house keeping products"
1608,"rolls/buns,margarine"
1609,"tropical fruit,soft cheese,rolls/buns,chocolate"
1610,"tropical fruit,pip fruit,brown bread"
1611,"sausage,hamburger meat,tropical fruit,root vegetables,whole milk,UHT-milk,domestic eggs,rolls/buns,semi-finished bread,margarine,pickled vegetables,soda,fruit/vegetable juice"
1612,bottled beer
1613,"turkey,tropical fruit,yogurt,UHT-milk,brown bread,pastry"
1614,"meat,rolls/buns,specialty chocolate"
1615,"whole milk,coffee,female sanitary products,shopping bags"
1616,"soda,canned beer"
1617,"rolls/buns,canned beer"
1618,"dessert,UHT-milk,rolls/buns,pastry,canned beer"
1619,"sausage,other vegetables,sliced cheese,mustard,fruit/vegetable juice"
1620,"pork,onions,other vegetables,butter milk"
1621,"hamburger meat,other vegetables,hard cheese,frozen vegetables"
1622,"sausage,beverages,sliced cheese,rolls/buns,specialty bar,shopping bags"
1623,"rolls/buns,soda,canned beer,waffles,shopping bags"
1624,"misc. beverages,chocolate"
1625,"pastry,long life bakery product"
1626,"soda,fruit/vegetable juice"
1627,whole milk
1628,"domestic eggs,long life bakery product,seasonal products"
1629,soda
1630,pip fruit
1631,"yogurt,UHT-milk,domestic eggs,rolls/buns"
1632,"frankfurter,pork,pip fruit"
1633,specialty chocolate
1634,"sausage,white bread,bottled beer"
1635,oil
1636,"tropical fruit,pip fruit,soda,bottled beer,popcorn"
1637,"citrus fruit,other vegetables,whole milk"
1638,napkins
1639,"whole milk,rolls/buns"
1640,coffee
1641,"tropical fruit,newspapers"
1642,canned beer
1643,bottled beer
1644,canned beer
1645,rum
1646,"rolls/buns,margarine,newspapers"
1647,pastry
1648,"whole milk,dessert"
1649,"grapes,root vegetables,other vegetables,roll products,pasta,oil,margarine,coffee,bottled water,detergent"
1650,whole milk
1651,"yogurt,rolls/buns"
1652,"root vegetables,other vegetables,whole milk,yogurt,rolls/buns,chewing gum,candles"
1653,pastry
1654,canned beer
1655,sausage
1656,"tropical fruit,other vegetables,yogurt,spread cheese,soda"
1657,"frankfurter,citrus fruit,tropical fruit,whole milk,butter,whipped/sour cream"
1658,rolls/buns
1659,"frankfurter,pip fruit,other vegetables,whole milk"
1660,"sausage,other vegetables,newspapers,shopping bags"
1661,"whole milk,rolls/buns"
1662,"whole milk,canned beer"
1663,"whole milk,frozen vegetables"
1664,"ham,pip fruit,herbs,other vegetables,butter,rolls/buns,white bread,oil,canned fish,soda"
1665,"whole milk,yogurt,white bread,newspapers"
1666,"beef,citrus fruit,pip fruit,yogurt,rolls/buns,flour,margarine,soups,bottled water"
1667,"domestic eggs,rolls/buns,soda"
1668,"soda,waffles"
1669,"whole milk,yogurt,beverages,mustard,bottled water,newspapers"
1670,"ham,pip fruit,whole milk,rolls/buns,honey,newspapers"
1671,"curd,yogurt,mayonnaise,brown bread,margarine,sugar,ketchup,dish cleaner,cling film/bags"
1672,bottled water
1673,"butter milk,coffee"
1674,"pork,other vegetables"
1675,"pork,onions,shopping bags"
1676,"turkey,other vegetables,whole milk,oil,instant coffee,specialty bar"
1677,"cream cheese,soda"
1678,"tropical fruit,berries,root vegetables,other vegetables,yogurt,rolls/buns,shopping bags"
1679,rolls/buns
1680,"citrus fruit,other vegetables,whole milk,margarine,bottled beer,newspapers"
1681,"frankfurter,sausage,root vegetables,yogurt,mayonnaise,rolls/buns,brown bread,roll products,margarine,coffee"
1682,whipped/sour cream
1683,"tropical fruit,butter,butter milk,brown bread,long life bakery product"
1684,"frankfurter,pip fruit,rolls/buns,bottled water"
1685,"sausage,tropical fruit,whole milk,processed cheese,frozen vegetables,domestic eggs,rolls/buns,white bread,rice,soda,detergent,softener,decalcifier,napkins,shopping bags"
1686,"sausage,citrus fruit,tropical fruit,whole milk,bottled water,specialty bar,detergent,newspapers"
1687,"sausage,rolls/buns,soda,specialty bar"
1688,"sliced cheese,rolls/buns,margarine,soda,shopping bags"
1689,candy
1690,"tropical fruit,berries,pickled vegetables,pet care,soda"
1691,"pip fruit,whole milk,butter milk,cream cheese,domestic eggs,rolls/buns,brown bread"
1692,"citrus fruit,tropical fruit,grapes,dessert,cream cheese,rolls/buns,bottled water,fruit/vegetable juice"
1693,"hamburger meat,pip fruit,other vegetables,butter,cream cheese,mayonnaise,domestic eggs,pastry,rice,margarine,canned fruit,canned fish,coffee,tea,candles"
1694,"other vegetables,whole milk,curd,spread cheese,curd cheese,rolls/buns,brown bread,Instant food products,coffee"
1695,"nuts/prunes,rolls/buns,soda"
1696,"ham,beef,other vegetables,newspapers"
1697,"ham,rolls/buns"
1698,"butter,bottled beer,liquor"
1699,napkins
1700,"beef,root vegetables,margarine,bottled water,soda"
1701,"frankfurter,hamburger meat"
1702,"meat,citrus fruit,other vegetables,canned beer"
1703,"whole milk,curd,mayonnaise,pastry,flour,canned fish,waffles"
1704,"sausage,other vegetables,rolls/buns,soda"
1705,"sausage,other vegetables"
1706,"rolls/buns,soda"
1707,"root vegetables,white bread,sugar,liquor"
1708,"sausage,root vegetables,whole milk,butter,misc. beverages"
1709,"sausage,root vegetables,other vegetables,whole milk,curd,yogurt,hard cheese,white bread"
1710,"meat,pork,onions,salad dressing,domestic eggs,white bread,flour,salt,bottled beer"
1711,"sausage,whole milk,yogurt,pastry,pudding powder,bottled water,soda,bottled beer,canned beer,male cosmetics,flower (seeds)"
1712,citrus fruit
1713,"chocolate,candy"
1714,coffee
1715,"sausage,tropical fruit,pip fruit,other vegetables,whole milk,curd,dessert,yogurt,whipped/sour cream,cream cheese,brown bread,detergent"
1716,"beef,citrus fruit,tropical fruit,pip fruit,dessert,cream cheese,rolls/buns,chocolate"
1717,"berries,other vegetables,butter milk,yogurt,sliced cheese,rolls/buns,soda"
1718,"frozen meals,oil,bottled water,bottled beer,flower (seeds)"
1719,"beef,herbs,whole milk"
1720,"sausage,meat,root vegetables,other vegetables,whole milk,butter milk,yogurt,pastry,waffles"
1721,rolls/buns
1722,"frankfurter,rolls/buns,fruit/vegetable juice"
1723,"sausage,pork,whole milk,yogurt,rolls/buns,brown bread,napkins,shopping bags"
1724,"pip fruit,whole milk,whipped/sour cream,baking powder"
1725,"grapes,whole milk,baking powder,candles,photo/film"
1726,chocolate marshmallow
1727,coffee
1728,"soda,white wine"
1729,"bottled beer,liquor,red/blush wine"
1730,"butter,cleaner"
1731,"fruit/vegetable juice,nut snack"
1732,"meat,specialty bar"
1733,"pip fruit,butter,curd,chocolate"
1734,"other vegetables,domestic eggs"
1735,"frankfurter,white bread,pastry,dog food,soda,shopping bags"
1736,long life bakery product
1737,"tropical fruit,whole milk,sliced cheese,mayonnaise,rolls/buns,mustard"
1738,"whole milk,white bread,salty snack"
